1,价,不错,整体,正面
1,_,是正品,真伪,正面
2,颜色,喜欢,整体,正面
2,_,喜欢的,气味,正面
3,_,细腻,使用体验,正面
3,_,挺细腻的,使用体验,正面
4,_,还行,整体,正面
4,_,还行吧,整体,正面
5,效果,不错,整体,正面
5,隔离,没,价格,负面
6,提亮,很好,整体,正面
6,肤色,好,整体,正面
7,_,好用,整体,正面
7,_,很喜欢,整体,正面
8,好评,好评,整体,正面
8,_,好,整体,正面
9,护肤,还可以,整体,正面
9,_,快,物流,正面
10,到货,不错,整体,正面
11,水,不错,整体,正面
11,_,很清爽,使用体验,正面
12,包装,还行,整体,正面
12,_,一般,整体,中性
13,质量,一般,整体,中性
13,量,一般般,整体,中性
14,_,不错,整体,正面
14,_,感觉不错,整体,正面
15,物流,快,物流,正面
15,包装,速度快,物流,正面
16,_,好用,整体,正面
16,_,好,整体,正面
17,速度,快,物流,正面
17,发货,好,整体,正面
18,_,很好,整体,正面
18,_,很好用,整体,正面
19,_,不错,整体,正面
19,_,很好,整体,正面
20,_,不油腻,使用体验,正面
20,_,自然,功效,正面
21,好评,好用,整体,正面
21,_,好评,整体,正面
22,_,干净,功效,正面
22,_,很适合,整体,正面
23,_,不错,整体,正面
23,_,很不错,整体,正面
24,_,不错,整体,正面
24,_,好,整体,正面
25,质量,优惠,价格,正面
25,量,_,其他,正面
26,_,很好,整体,正面
26,_,很好用,整体,正面
27,_,不错,整体,正面
27,_,真心不错,整体,正面
28,效果,一般,整体,中性
28,成膜,油,使用体验,负面
29,_,很好,整体,正面
29,_,很好用,整体,正面
30,_,还可以,整体,正面
30,_,可以,整体,正面
31,效果,不错,整体,正面
31,产品,好,整体,正面
32,卸妆,好评,整体,正面
32,好评,好,整体,正面
33,_,好用,整体,正面
33,_,好,整体,正面
34,_,不错,整体,正面
34,_,很好,整体,正面
35,_,很多,成分,正面
35,_,多,成分,正面
36,快递,很快,物流,正面
36,_,快,物流,正面
37,速度,很快,物流,正面
37,效果,快,物流,正面
38,包装,不错,整体,正面
38,水,很水润,使用体验,正面
39,物流,很好,整体,正面
39,快递,很快,物流,正面
40,活动,多,成分,正面
41,水,很好,整体,正面
41,_,很好用,整体,正面
42,质量,一般,整体,中性
42,量,_,其他,正面
43,酒精味,好用,整体,正面
43,味,好,整体,正面
44,到货,很喜欢,整体,正面
44,_,喜欢,整体,正面
45,_,很好,整体,正面
45,_,好,整体,正面
46,_,还可以,整体,正面
46,_,可以,整体,正面
47,味道,不错,整体,正面
47,味,非常不错,整体,正面
48,_,不错,整体,正面
48,_,还行,整体,正面
49,发货,好,整体,正面
49,盒子,没有,包装,负面
50,香味,不错,整体,正面
50,味,还不错,整体,正面
51,_,不错,整体,正面
52,_,好用,整体,正面
52,_,好,整体,正面
53,价格,好用,整体,正面
53,效果,好,整体,正面
54,快递,不错,整体,正面
54,速度,快,物流,正面
55,_,不错,整体,正面
55,_,很不错,整体,正面
56,_,很喜欢,整体,正面
56,_,喜欢,整体,正面
57,_,好用,整体,正面
57,_,好,整体,正面
58,卸妆,满意,整体,正面
58,水,大,价格,正面
59,_,辣眼睛,使用体验,负面
60,_,好,整体,正面
60,_,非常好,整体,正面
61,_,好,整体,正面
61,_,多,成分,正面
62,_,好用,整体,正面
62,_,好,整体,正面
63,活动,好,整体,正面
63,_,合适,价格,正面
64,_,不错,整体,正面
64,_,很适合,整体,正面
65,送货,不错,整体,正面
65,质量,很给力,物流,正面
66,物流,还可以,整体,正面
66,_,很快,物流,正面
67,_,好用,整体,正面
67,_,好,整体,正面
68,物流,不错,整体,正面
68,包装,好用,整体,正面
69,快递,快,物流,正面
69,_,给力,物流,正面
70,_,还可以,整体,正面
70,_,可以,整体,正面
71,保湿,挺好的,整体,正面
71,_,好,整体,正面
72,包装,一般,整体,中性
72,_,很一般,功效,中性
73,_,过敏,使用体验,负面
74,_,_,_,_
75,活动,不错,整体,正面
75,_,好,整体,正面
76,_,很好,整体,正面
76,_,很好用,整体,正面
77,好评,好用,整体,正面
77,_,好评,整体,正面
78,价格,不错,整体,正面
78,包装,还可以,整体,正面
79,包装,很好,整体,正面
79,快递,快,物流,正面
80,补水效果,不错,整体,正面
80,补水,还不错,整体,正面
81,产品,很好,整体,正面
81,_,很好用,整体,正面
82,物流,不错,整体,正面
82,_,很快,物流,正面
83,护肤,还行,整体,正面
84,_,不错,整体,正面
84,_,还不错,整体,正面
85,设计,好用,整体,正面
85,_,很喜欢,整体,正面
86,护肤,很好,整体,正面
86,_,很好用,整体,正面
87,速度,很快,物流,正面
87,水,快,物流,正面
88,_,很划算,价格,正面
88,_,不紧绷,使用体验,正面
89,_,好用,整体,正面
89,_,好,整体,正面
90,_,不错,整体,正面
91,_,不错,整体,正面
91,_,挺好的,整体,正面
92,味道,很喜欢,整体,正面
92,味,喜欢,整体,正面
93,味道,很好,整体,正面
93,味,很好用,整体,正面
94,价格,满意,整体,正面
94,价,优惠,价格,正面
95,_,挺好的,整体,正面
95,_,好,整体,正面
96,精华,好评,整体,正面
96,精华液,好,整体,正面
97,价格,实惠,价格,正面
97,包装,精美,包装,正面
98,快递,不错,整体,正面
98,赠品,快,物流,正面
99,补水效果,好,整体,正面
99,补水,补水,功效,正面
100,补水效果,好,整体,正面
100,补水,特别好,功效,正面
101,性价比,还可以,整体,正面
101,卸妆,可以,整体,正面
102,包装,不油腻,使用体验,正面
102,味道,淡淡的,气味,正面
103,水,很喜欢,整体,正面
103,_,喜欢,整体,正面
104,质量,实惠,价格,正面
104,量,便宜,价格,正面
105,_,还可以,整体,正面
105,_,可以,整体,正面
106,活动,好用,整体,正面
106,_,好,整体,正面
107,隔离,不错,整体,正面
107,_,很不错,整体,正面
108,_,不错,整体,正面
109,送货,很好,整体,正面
109,_,很好用,整体,正面
110,味道,还行,整体,正面
110,味,还行吧,整体,正面
111,补水,不错,整体,正面
111,性价比,还不错,整体,正面
112,香味,好,整体,正面
112,效果,是正品,真伪,正面
113,保湿效果,不错,整体,正面
113,效果,好用,整体,正面
114,隔离,好用,整体,正面
114,_,好,整体,正面
115,_,很好,整体,正面
115,_,很好用,整体,正面
116,产品,值得信赖,其他,正面
116,_,一直用,整体,正面
117,_,挺好的,整体,正面
117,_,很快,物流,正面
118,价格,好用,整体,正面
118,价,好,整体,正面
119,物流,很好,整体,正面
119,性价比,很好用,整体,正面
120,效果,不错,整体,正面
120,_,挺好的,整体,正面
121,_,挺好的,整体,正面
121,_,好,整体,正面
122,味道,好,整体,正面
122,赠品,不好,整体,负面
123,_,可以,整体,正面
124,_,很好,整体,正面
124,_,很好用,整体,正面
125,_,好用,整体,正面
125,_,好,整体,正面
126,质量,不错,整体,正面
126,量,好用,整体,正面
127,速度,好用,整体,正面
127,送货,很快,物流,正面
128,_,还可以,整体,正面
128,_,可以,整体,正面
129,吸收,好,整体,正面
129,时间,不怎么样,整体,负面
130,发货,快,物流,正面
130,盒子,物美价廉,价格,正面
131,活动,没,价格,负面
131,_,没用,整体,负面
132,_,好,整体,正面
132,_,不好,整体,负面
133,快递,快,物流,正面
133,_,一般,整体,中性
134,物流,快,物流,正面
134,_,一样,气味,正面
135,价格,多,成分,正面
135,赠品,没有,包装,负面
136,_,好用,整体,正面
136,_,好,整体,正面
137,价格,便宜,价格,正面
137,水份,多,成分,正面
138,补水,好评,整体,正面
138,水,好,整体,正面
139,_,一直用,整体,正面
140,送货,快,物流,正面
140,效果,_,功效,正面
141,补水效果,很好,整体,正面
141,补水,很好用,整体,正面
142,补水,很喜欢,整体,正面
142,水,好,整体,正面
143,_,好用,整体,正面
143,_,好,整体,正面
144,物流,很好,整体,正面
144,赠品,很好用,整体,正面
145,物流,不错,整体,正面
145,包装,杠杠的,整体,正面
146,补水,补水,功效,正面
146,水,轻薄,使用体验,正面
147,_,还可以,整体,正面
147,_,可以,整体,正面
148,补水效果,好,整体,正面
148,补水,特别好,功效,正面
149,效果,还可以,整体,正面
149,吸收,好,整体,正面
150,补水,很好,整体,正面
150,效果,好,整体,正面
151,好评,好评,整体,正面
151,_,好,整体,正面
152,_,喜欢,整体,正面
153,服务,不错,整体,正面
153,配送,好,整体,正面
154,_,油,使用体验,负面
154,_,适合,整体,正面
155,速度,好用,整体,正面
155,送货,快,物流,正面
156,_,很好,整体,正面
156,_,很好用,整体,正面
157,_,_,_,_
158,性价比,喜欢,整体,正面
158,上妆,不油腻,使用体验,正面
159,_,是正品,真伪,正面
159,_,正品,真伪,正面
160,效果,不错,整体,正面
160,_,好,整体,正面
161,_,很好,整体,正面
161,_,很好用,整体,正面
162,物流,很快,物流,正面
162,价格,快,物流,正面
163,卸妆,好用,整体,正面
163,_,好,整体,正面
164,包装,快,物流,正面
164,快递,好,整体,正面
165,物流,不错,整体,正面
165,速度,很喜欢,整体,正面
166,_,好用,整体,正面
166,_,好,整体,正面
167,_,不错,整体,正面
167,_,实惠,价格,正面
168,_,好用,整体,正面
168,_,好,整体,正面
169,好评,好用,整体,正面
169,_,好评,整体,正面
170,_,适合,整体,正面
171,_,好用,整体,正面
171,_,好,整体,正面
172,活动,快,物流,正面
172,吸收,给力,物流,正面
173,包装,_,包装,正面
173,盒子,_,包装,正面
174,质量,不错,整体,正面
174,量,很好,整体,正面
175,_,很好,整体,正面
175,_,很好用,整体,正面
176,遮瑕,卡粉,使用体验,负面
176,卡粉,遮瑕,功效,正面
177,_,好,整体,正面
177,_,一如既往的好,整体,正面
178,补水效果,不错,整体,正面
178,补水,还不错,整体,正面
179,_,快,物流,正面
179,_,超快,物流,正面
180,效果,不错,整体,正面
180,防晒效果,快,物流,正面
181,保湿,很好,整体,正面
181,_,好,整体,正面
182,_,不错,整体,正面
182,_,还不错,整体,正面
183,_,很好,整体,正面
183,_,很好用,整体,正面
184,隔离,不错,整体,正面
184,_,优惠,价格,正面
185,_,不错,整体,正面
185,_,可以,整体,正面
186,物流,不错,整体,正面
186,速度,快,物流,正面
187,保湿效果,很好,整体,正面
187,效果,好,整体,正面
188,_,好用,整体,正面
188,_,好,整体,正面
189,_,好用,整体,正面
189,_,好,整体,正面
190,价格,不错,整体,正面
190,价,合适,价格,正面
191,_,不错,整体,正面
191,_,很不错,整体,正面
192,_,很好,整体,正面
192,_,很好用,整体,正面
193,_,不错,整体,正面
194,气味,很好,整体,正面
194,味,好,整体,正面
195,效果,可以,整体,正面
195,_,一般,整体,中性
196,包装,没有,包装,负面
196,包装盒,没,价格,负面
197,产品,还行,整体,正面
198,_,还可以,整体,正面
198,_,可以,整体,正面
199,物流,不错,整体,正面
199,_,还不错,整体,正面
200,补水,可以,整体,正面
200,水,补水,功效,正面
201,速度,不错,整体,正面
201,送货,很喜欢,整体,正面
202,_,很喜欢,整体,正面
202,_,喜欢,整体,正面
203,物流,挺好的,整体,正面
203,好评,快,物流,正面
204,_,还可以,整体,正面
204,_,可以,整体,正面
205,卡粉,很好,整体,正面
205,_,好,整体,正面
206,盒子,很好,整体,正面
206,卖家,很好用,整体,正面
207,香味,很好,整体,正面
207,味,很好用,整体,正面
208,味道,好用,整体,正面
208,味,好评,整体,正面
209,速度,快,物流,正面
209,_,好,整体,正面
210,活动,给力,物流,正面
210,_,贵,价格,负面
211,补水效果,很喜欢,整体,正面
211,补水,好,整体,正面
212,泡沫,没有,包装,负面
212,_,假的,真伪,负面
213,效果,好用,整体,正面
213,_,好,整体,正面
214,效果,不错,整体,正面
214,_,满意,整体,正面
215,_,好用,整体,正面
215,_,好,整体,正面
216,卸妆,很好,整体,正面
216,水,很好用,整体,正面
217,补水,不错,整体,正面
217,保湿,好,整体,正面
